Results for 25 lambda values within the range [ -7 , -1 ]:

Lamda: 0.000047  :
Best accuracy achieved on validation set:  50.700000
Final test accuracy  50.930000


Lamda: 0.000000  :
Best accuracy achieved on validation set:  50.680000
Final test accuracy  50.120000


Lamda: 0.004970  :
Best accuracy achieved on validation set:  52.420000
Final test accuracy  52.730000


Lamda: 0.001955  :
Best accuracy achieved on validation set:  51.980000
Final test accuracy  51.060000


Lamda: 0.000002  :
Best accuracy achieved on validation set:  51.140000
Final test accuracy  50.050000


Lamda: 0.006040  :
Best accuracy achieved on validation set:  52.060000
Final test accuracy  51.260000


Lamda: 0.000004  :
Best accuracy achieved on validation set:  50.980000
Final test accuracy  50.460000


Lamda: 0.000001  :
Best accuracy achieved on validation set:  51.620000
Final test accuracy  51.040000


Lamda: 0.000127  :
Best accuracy achieved on validation set:  50.400000
Final test accuracy  50.880000


Lamda: 0.022439  :
Best accuracy achieved on validation set:  50.380000
Final test accuracy  49.800000


Lamda: 0.012124  :
Best accuracy achieved on validation set:  50.780000
Final test accuracy  51.010000


Lamda: 0.000005  :
Best accuracy achieved on validation set:  50.720000
Final test accuracy  50.800000


Lamda: 0.000020  :
Best accuracy achieved on validation set:  51.240000
Final test accuracy  50.610000


Lamda: 0.057580  :
Best accuracy achieved on validation set:  46.880000
Final test accuracy  47.290000


Lamda: 0.001282  :
Best accuracy achieved on validation set:  51.320000
Final test accuracy  51.250000


Lamda: 0.000031  :
Best accuracy achieved on validation set:  50.300000
Final test accuracy  50.310000


Lamda: 0.000085  :
Best accuracy achieved on validation set:  51.180000
Final test accuracy  50.400000


Lamda: 0.000001  :
Best accuracy achieved on validation set:  50.420000
Final test accuracy  50.370000


Lamda: 0.004926  :
Best accuracy achieved on validation set:  51.880000
Final test accuracy  51.580000


Lamda: 0.008537  :
Best accuracy achieved on validation set:  51.360000
Final test accuracy  51.450000


Lamda: 0.000002  :
Best accuracy achieved on validation set:  51.460000
Final test accuracy  50.750000


Lamda: 0.000004  :
Best accuracy achieved on validation set:  51.620000
Final test accuracy  49.810000


Lamda: 0.000008  :
Best accuracy achieved on validation set:  51.820000
Final test accuracy  50.600000


Lamda: 0.000000  :
Best accuracy achieved on validation set:  50.840000
Final test accuracy  50.690000


Lamda: 0.046123  :
Best accuracy achieved on validation set:  48.280000
Final test accuracy  48.560000


